year,immigration_etrangers,emigration_etrangers,solde_etrangers,population,taux_permil
2007,42702,18558,24144,5447084,4.432
2008,50981,24734,26247,5475791,4.793
2009,46032,30460,15572,5511451,2.825
2010,47670,30226,17444,5534738,3.152
2011,48858,32918,15940,5560628,2.867
2012,50633,32559,18074,5580516,3.239
2013,56995,34073,22922,5602628,4.091
2014,65547,37536,28011,5627235,4.978
2015,76323,34509,41814,5659715,7.388
2016,72179,39534,32645,5707251,5.72
2017,67445,43745,23700,5748769,4.123
2018,65427,47736,17691,5781190,3.06
2019,62643,54470,8173,5806081,1.408
2020,48644,43549,5095,5822763,0.875
2021,57922,33536,24386,5840045,4.176
2022,103042,44068,58974,5873420,10.041
2023,79561,50540,29021,5932654,4.892
2024,83216,52580,30636,5961249,5.139
2025,84420,54012,30408,5992734,5.074
