year,immigration_etrangers,emigration_etrangers,solde_etrangers,population,taux_permil,source
2008,496549,27023,469526,59619290,7.875,Eurostat migr_imm1ctz (TOTAL-IT) + Eurostat migr_emi1ctz
2009,406725,32270,374455,60045068,6.236,Eurostat migr_imm1ctz (TOTAL-IT) + Eurostat migr_emi1ctz
2010,424499,32817,391682,60340328,6.491,Eurostat migr_imm1ctz (TOTAL-IT) + Eurostat migr_emi1ctz
2011,354327,32404,321923,60626442,5.31,Eurostat migr_imm1ctz (TOTAL-IT) + Eurostat migr_emi1ctz
2012,321305,38218,283087,59394207,4.766,Eurostat migr_imm1ctz (TOTAL-IT) + Eurostat migr_emi1ctz
2013,279021,43640,235381,60277309,3.905,Eurostat migr_imm1ctz (TOTAL-IT) + Eurostat migr_emi1ctz
2014,248360,47469,200891,60345917,3.329,Eurostat migr_imm1ctz (TOTAL-IT) + Eurostat migr_emi1ctz
2015,250026,44696,205330,60295497,3.405,Eurostat migr_imm1ctz (TOTAL-IT) + Eurostat migr_emi1ctz
2016,262929,42553,220376,60163712,3.663,Eurostat migr_imm1ctz (TOTAL-IT) + Eurostat migr_emi1ctz
2017,301071,40551,260520,60066734,4.337,Eurostat migr_imm1ctz (TOTAL-IT) + Eurostat migr_emi1ctz
2018,285500,40228,245272,59937769,4.092,Eurostat migr_imm1ctz (TOTAL-IT) + Eurostat migr_emi1ctz
2019,264571,57485,207086,59816673,3.462,Eurostat migr_imm1ctz (TOTAL-IT) + Eurostat migr_emi1ctz
2020,191766,38934,152832,59641488,2.563,Eurostat migr_imm1ctz (TOTAL-IT) + Eurostat migr_emi1ctz
2021,243607,64093,179514,59236213,3.03,Eurostat migr_imm1ctz (TOTAL-IT) + Eurostat migr_emi1ctz
2022,336495,50679,285816,59030133,4.842,Eurostat migr_imm1ctz (TOTAL-IT) + Eurostat migr_emi1ctz
2023,378372,44381,333991,58997201,5.661,Eurostat migr_imm1ctz (TOTAL-IT) + Eurostat migr_emi1ctz
2024,393115,47847,345268,58971230,5.855,Eurostat migr_imm1ctz (TOTAL-IT) + Eurostat migr_emi1ctz
